Mauritania,78.5,29.1,4.4,5.2,3.3,7.1,10.2,0.5,5.7,0.4
Mauritius,28.6,8.8,1.7,3.3,3.2,1.6,3.9,0.2,1.7,0.1
Mexico,2720.6,866.5,187.7,212.7,287.3,174.3,399.2,33.9,175.9,9.7
Micronesia (Federated States of),1.8,0.5,0.1,0.2,0.1,0.1,0.3,0.0,0.1,0.0
Mongolia,73.9,20.9,3.7,5.4,16.6,5.4,8.5,0.4,4.1,0.2
Montenegro,14.8,5.0,0.8,1.3,1.1,1.6,2.1,0.1,0.8,0.1
Morocco,843.2,265.3,46.9,53.8,25.1,144.4,135.8,4.7,44.3,2.8
Mozambique,504.1,206.2,27.6,27.2,31.7,10.5,75.5,1.9,38.2,2.6
Myanmar,1110.1,324.1,66.8,111.6,120.4,68.2,159.8,6.7,72.0,3.6
Namibia,51.1,18.8,2.8,3.3,3.6,3.7,6.7,0.4,3.4,0.2
Nepal,511.1,149.8,31.9,40.1,24.4,32.0,92.5,2.7,39.5,1.7
Netherlands,406.7,126.1,26.1,39.1,21.7,27.7,93.9,8.4,21.2,1.3
New Zealand,130.1,38.0,8.8,11.9,7.5,14.6,27.9,1.6,6.3,0.6
Nicaragua,147.8,42.5,9.4,9.1,29.2,6.1,24.0,0.7,8.0,0.6
Niger,321.0,118.9,18.0,18.5,14.2,14.7,45.3,1.1,27.2,1.8
Nigeria,3878.1,1291.7,185.7,211.5,236.2,607.6,451.8,21.9,252.7,16.7
Norway,155.0,38.3,7.5,10.2,15.0,29.4,32.4,2.6,6.0,0.5
Oman,109.6,36.7,7.3,8.7,2.4,12.1,16.4,1.3,6.9,0.4
Pakistan,3720.9,1329.3,206.8,260.9,135.5,238.8,577.6,22.8,265.4,11.0
Panama,85.9,28.7,6.0,6.7,5.9,5.2,15.5,1.0,5.1,0.3
Papua New Guinea,123.0,36.9,7.5,11.2,7.0,4.6,21.7,0.6,10.3,0.7
Paraguay,172.3,61.7,9.5,9.8,10.9,5.9,44.8,1.1,9.1,0.6
Peru,778.7,262.0,46.0,51.4,47.2,69.8,160.7,5.9,42.2,3.2
Philippines,1935.3,554.1,121.0,201.7,148.2,127.4,284.6,27.0,136.4,7.3
Poland,1064.0,330.4,52.9,83.8,214.6,76.5,132.1,7.8,51.1,2.9
Portugal,261.9,99.6,17.8,21.1,17.3,14.4,46.0,3.7,13.1,0.8
Qatar,56.6,19.5,3.9,5.0,1.4,4.7,8.2,1.0,3.7,0.2
Republic of Korea,1055.8,325.9,66.1,135.0,94.4,42.5,163.1,27.5,66.4,3.3
Republic of Moldova,120.3,36.0,5.6,8.0,27.5,14.2,11.3,0.4,5.4,0.2
Romania,475.2,163.8,26.7,41.8,40.9,53.3,63.1,2.3,25.5,1.3
Russian Federation,6162.0,1339.0,190.2,305.7,1794.7,1503.2,401.8,31.8,188.9,6.8
Rwanda,212.4,76.2,12.7,13.2,19.5,5.0,33.3,1.0,16.0,1.1
Saint Lucia,4.8,1.6,0.3,0.3,0.6,0.2,1.0,0.0,0.2,0.0
Saint Vincent and the Grenadines,3.0,0.9,0.2,0.2,0.5,0.2,0.6,0.0,0.1,0.0
Samoa,3.2,1.0,0.2,0.3,0.1,0.1,0.6,0.0,0.3,0.0
Sao Tome and Principe,3.4,1.3,0.2,0.2,0.2,0.1,0.5,0.0,0.3,0.0
Saudi Arabia,684.3,244.9,44.9,55.6,11.9,51.0,118.9,5.6,45.8,2.6
Senegal,274.3,102.5,15.8,16.9,13.5,18.9,37.0,1.4,20.8,1.4
Serbia,207.1,73.4,11.3,19.7,21.2,11.8,29.6,1.6,11.6,0.7
Seychelles,2.3,0.6,0.1,0.2,0.1,0.5,0.3,0.0,0.1,0.0
Sierra Leone,130.1,44.3,6.9,7.3,11.0,13.6,16.1,0.6,8.9,0.6
Singapore,80.6,28.7,5.5,10.5,1.9,4.2,11.9,1.6,5.3,0.3
Slovakia,139.6,47.5,7.7,12.3,17.9,10.0,18.9,1.2,7.4,0.4
Slovenia,51.2,17.5,2.7,4.7,6.5,4.0,6.8,0.4,2.7,0.1
Solomon Islands,9.3,2.8,0.6,0.8,0.4,0.4,1.7,0.0,0.8,0.1
Somalia,190.3,76.9,10.3,9.8,14.3,2.8,28.3,0.6,14.8,1.0
South Africa,1175.6,420.7,67.9,91.3,69.2,97.2,161.5,10.4,76.6,4.2
South Sudan,233.2,96.6,12.8,13.7,17.2,3.7,33.9,1.2,16.9,1.1
Spain,1191.2,424.4,83.4,104.2,47.5,105.0,176.2,24.3,60.1,5.3
Sri Lanka,418.5,134.0,26.1,48.9,26.1,26.2,61.9,3.0,27.0,1.3
Sudan,785.9,246.5,46.8,43.2,24.9,66.9,145.7,4.0,52.9,4.0
Suriname,13.5,4.5,0.8,0.9,1.3,0.9,2.8,0.1,0.7,0.1
Swaziland,27.6,9.5,1.5,1.6,2.2,2.9,3.5,0.2,1.8,0.1
Sweden,246.5,76.4,14.8,16.5,27.5,30.5,40.6,2.2,13.5,0.9
